movie_name,ranking,score,score_num
幸福终点站,120,8.7,277549人评价
哈利·波特与死亡圣器(下),121,8.7,356606人评价
杀人回忆,122,8.7,265065人评价
神偷奶爸,123,8.5,497057人评价
借东西的小人阿莉埃蒂,124,8.7,272124人评价
小森林 冬春篇,125,9.0,164719人评价
七武士,126,9.2,98046人评价
7号房的礼物,127,8.8,233665人评价
怪兽电力公司,128,8.6,316222人评价
岁月神偷,129,8.6,362537人评价
真爱至上,130,8.5,391565人评价
电锯惊魂,131,8.7,249366人评价
萤火之森,132,8.8,216840人评价
谍影重重3,133,8.7,226838人评价
萤火虫之墓,134,8.7,247230人评价
疯狂原始人,135,8.7,460695人评价
唐伯虎点秋香,136,8.5,456209人评价
超能陆战队,137,8.6,484284人评价
蝙蝠侠：黑暗骑士崛起,138,8.6,365965人评价
东邪西毒,139,8.6,320065人评价
喜宴,140,8.8,174677人评价
贫民窟的百万富翁,141,8.5,460884人评价
记忆碎片,142,8.6,339582人评价
黑天鹅,143,8.5,501102人评价
英雄本色,144,8.6,233382人评价
心迷宫,145,8.7,240393人评价
无人知晓,146,9.1,103721人评价
雨人,147,8.7,245033人评价
傲慢与偏见,148,8.5,379382人评价
荒蛮故事,149,8.8,192458人评价
血战钢锯岭,150,8.7,412568人评价
纵横四海,151,8.7,194893人评价
卢旺达饭店,152,8.9,147214人评价
时空恋旅人,153,8.7,262276人评价
教父3,154,8.8,166841人评价
玩具总动员3,155,8.8,237555人评价
海边的曼彻斯特,156,8.6,262313人评价
达拉斯买家俱乐部,157,8.7,235547人评价
花样年华,158,8.6,302856人评价
完美的世界,159,9.0,104721人评价
海洋,160,9.0,109996人评价
虎口脱险,161,8.9,127425人评价
恋恋笔记本,162,8.5,346818人评价
你看起来好像很好吃,163,8.8,182361人评价
燃情岁月,164,8.7,170947人评价
二十二,165,8.7,143413人评价
雨中曲,166,9.0,111599人评价
冰川时代,167,8.5,336976人评价
我是山姆,168,8.8,132531人评价
头脑特工队,169,8.7,296827人评价
被解救的姜戈,170,8.6,315969人评价
穿越时空的少女,171,8.6,223466人评价
魂断蓝桥,172,8.8,151802人评价
人工智能,173,8.6,232516人评价
猜火车,174,8.5,286741人评价
无敌破坏王,175,8.7,261526人评价
爆裂鼓手,176,8.6,291070人评价
你的名字。,177,8.4,637400人评价
未麻的部屋,178,8.9,126731人评价
罗生门,179,8.7,157029人评价
模仿游戏,180,8.6,316812人评价
一个叫欧维的男人决定去死,181,8.8,165298人评价
房间,182,8.8,199858人评价
阿飞正传,183,8.5,261943人评价
香水,184,8.4,330721人评价
浪潮,185,8.7,158682人评价
朗读者,186,8.5,314381人评价
忠犬八公物语,187,9.1,81472人评价
恐怖游轮,188,8.4,404326人评价
魔女宅急便,189,8.5,244783人评价
完美陌生人,190,8.6,283513人评价
可可西里,191,8.7,155905人评价
哪吒闹海,192,8.9,105210人评价
战争之王,193,8.6,204572人评价
谍影重重,194,8.5,234369人评价
谍影重重2,195,8.6,195668人评价
地球上的星星,196,8.9,105842人评价
牯岭街少年杀人事件,197,8.8,132375人评价
黑客帝国3：矩阵革命,198,8.6,195755人评价
一次别离,199,8.7,155679人评价
海街日记,200,8.7,180201人评价
追随,201,8.9,98235人评价
三块广告牌,202,8.7,405372人评价
惊魂记,203,8.9,105689人评价
青蛇,204,8.5,272903人评价
撞车,205,8.6,203031人评价
小萝莉的猴神大叔,206,8.5,226505人评价
再次出发之纽约遇见你,207,8.5,217178人评价
梦之安魂曲,208,8.7,132648人评价
步履不停,209,8.8,116226人评价
源代码,210,8.4,476775人评价
新龙门客栈,211,8.5,228578人评价
终结者2：审判日,212,8.6,173664人评价
初恋这件小事,213,8.3,561845人评价
东京物语,214,9.2,64125人评价
疯狂的石头,215,8.3,394355人评价
爱在午夜降临前,216,8.8,145662人评价
城市之光,217,9.3,57050人评价
无耻混蛋,218,8.5,264743人评价
绿里奇迹,219,8.7,129447人评价
末路狂花,220,8.7,124887人评价
这个男人来自地球,221,8.5,220907人评价
E.T. 外星人,222,8.5,188963人评价
彗星来的那一夜,223,8.4,236728人评价
勇闯夺命岛,224,8.6,166527人评价
秒速5厘米,225,8.3,368394人评价
变脸,226,8.4,250177人评价
血钻,227,8.6,167744人评价
聚焦,228,8.8,155640人评价
黄金三镖客,229,9.1,63763人评价
发条橙,230,8.5,216319人评价
天书奇谭,231,9.1,65848人评价
卡萨布兰卡,232,8.6,146487人评价
非常嫌疑犯,233,8.6,144926人评价
碧海蓝天,234,8.7,117713人评价
国王的演讲,235,8.3,399551人评价
美国丽人,236,8.5,217754人评价
海蒂和爷爷,237,9.1,72557人评价
黑鹰坠落,238,8.6,147101人评价
我爱你,239,9.0,73856人评价
千钧一发,240,8.7,112451人评价
2001太空漫游,241,8.7,121731人评价
海盗电台,242,8.6,184977人评价
遗愿清单,243,8.5,162512人评价
荒野生存,244,8.6,149626人评价
英国病人,245,8.5,197757人评价
荒岛余生,246,8.5,164563人评价
勇士,247,8.9,100491人评价
枪火,248,8.7,119660人评价
迁徙的鸟,249,9.1,58105人评价
攻壳机动队,250,8.9,72946人评价
